seed,fs,alpha,max_iters,eval_interval,maskacc_iters,best_maskacc_val,best_maskacc_fg_val,last_val_loss,log_path
20260304,0,0,150,30,50,0.0490,0.0534,3.4259,exp/realvideo_complex_v1_confirm2_20260302T182340Z/logs/rvc1_rseed20260304_fs0.log
20260304,1,-2,150,30,50,0.0810,0.0826,3.0683,exp/realvideo_complex_v1_confirm2_20260302T182340Z/logs/rvc1_rseed20260304_fs1.log
20260305,0,0,150,30,50,0.0490,0.0534,3.4258,exp/realvideo_complex_v1_confirm2_20260302T182340Z/logs/rvc1_rseed20260305_fs0.log
20260305,1,-2,150,30,50,0.0808,0.0826,3.0677,exp/realvideo_complex_v1_confirm2_20260302T182340Z/logs/rvc1_rseed20260305_fs1_rerun.log
