task,fs,alpha,init,max_iters,eval_interval,maskacc_iters,best_maskacc_val,best_maskacc_fg_val,last_val_loss,exit_code,log_path
realvideo_square_migration_coarse120,0,0,ratio50_full150_seed20260318,120,30,50,0.2949,0.2989,2.6232,0,exp/realvideo_square_migration_coarse120_seed20260318_20260308T031506Z/logs/fs0.log
realvideo_square_migration_coarse120,1,-2,ratio50_full150_seed20260318,120,30,50,0.3659,0.3622,2.1962,0,exp/realvideo_square_migration_coarse120_seed20260318_20260308T031506Z/logs/fs1.log
