task,seed,fs,alpha,max_iters,eval_interval,maskacc_iters,best_maskacc_val,best_maskacc_fg_val,last_val_loss,exit_code,log_path
realvideo_complex_v1_ratio50_full150_seed20260317,20260317,0,0,150,30,50,0.0490,0.0526,3.4222,0,exp/realvideo_complex_v1_ratio50_full150_seed20260317_20260304T092527Z/logs/rvc1_ratio50_full150_seed20260317_fs0.log
realvideo_complex_v1_ratio50_full150_seed20260317,20260317,1,-2,150,30,50,0.0849,0.0858,3.0428,0,exp/realvideo_complex_v1_ratio50_full150_seed20260317_20260304T092527Z/logs/rvc1_ratio50_full150_seed20260317_fs1.log
