task,seed,fs,alpha,max_iters,eval_interval,maskacc_iters,best_maskacc_val,best_maskacc_fg_val,last_val_loss,exit_code,log_path
realvideo_complex_v1_ratio50_full150_seed20260319,20260319,0,0,150,30,50,0.0490,0.0526,3.4222,0,exp/realvideo_complex_v1_ratio50_full150_seed20260319_20260305T000359Z/logs/rvc1_ratio50_full150_seed20260319_fs0.log
realvideo_complex_v1_ratio50_full150_seed20260319,20260319,1,-2,150,30,50,0.0900,0.0918,3.0514,0,exp/realvideo_complex_v1_ratio50_full150_seed20260319_20260305T000359Z/logs/rvc1_ratio50_full150_seed20260319_fs1.log
