seed,tag,best_maskacc_fg_val_fs0,best_maskacc_fg_val_fs1,delta_maskacc_fg_val,last_val_loss_fs0,last_val_loss_fs1,delta_last_val_loss
20260318,realvideo_square_migration_coarse120_seed20260318_20260308T031506Z,0.2989,0.3622,0.06330000000000002,2.6232,2.1962,-0.42700000000000005
20260317,realvideo_square_migration_confirm_seed20260317_20260308T123605Z,0.2752,0.3636,0.08839999999999998,2.6088,2.1964,-0.4123999999999999
20260319,realvideo_square_migration_confirm_seed20260319_20260308T123605Z,0.2481,0.3638,0.11570000000000003,2.6127,2.2059,-0.4067999999999996
