task,seed,fs,alpha,max_iters,eval_interval,eval_iters,maskacc_iters,best_maskacc_val,best_maskacc_fg_val,last_val_loss,exit_code,log_path
realvideo_complex_v1_scaleL6E384_ratio50_coarse150_fit,20260311,0,0,150,30,10,20,0.0152,0.0000,3.4965,143,exp/realvideo_complex_v1_scaleL6E384_ratio50_coarse150_fit_20260303T154725Z/logs/rvc1_scaleL6E384_seed20260311_fs0.log
realvideo_complex_v1_scaleL6E384_ratio50_coarse150_fit,20260311,1,-2,150,30,10,20,nan,nan,nan,143,exp/realvideo_complex_v1_scaleL6E384_ratio50_coarse150_fit_20260303T154725Z/logs/rvc1_scaleL6E384_seed20260311_fs1.log
