seed,best_maskacc_val_fs0,best_maskacc_val_fs1,delta_maskacc_val,best_maskacc_fg_val_fs0,best_maskacc_fg_val_fs1,delta_maskacc_fg_val,last_val_loss_fs0,last_val_loss_fs1,delta_last_val_loss,src_fs0,src_fs1
20260306,0.0490,0.0906,0.0416,0.0526,0.0928,0.0402,3.4222,3.0496,-0.3726,artifacts/realvideo_complex_v1_ratio50_confirm_20260303T043332Z/summary_rows.csv,artifacts/realvideo_complex_v1_ratio50_confirm_20260303T043332Z/summary_rows.csv
20260307,0.0490,0.0902,0.0412,0.0526,0.0940,0.0414,3.4222,3.0468,-0.3754,artifacts/realvideo_complex_v1_ratio50_confirm_20260303T043332Z/summary_rows.csv,artifacts/realvideo_complex_v1_ratio50_confirm_20260303T043332Z/summary_rows.csv
20260317,0.0490,0.0849,0.0359,0.0526,0.0858,0.0332,3.4222,3.0428,-0.3794,artifacts/realvideo_complex_v1_ratio50_full150_seed20260317_20260304T092527Z/summary_rows.csv,artifacts/realvideo_complex_v1_ratio50_full150_seed20260317_20260304T092527Z/summary_rows.csv
20260318,0.0490,0.0879,0.0389,0.0526,0.0931,0.0405,3.4223,3.0446,-0.3777,artifacts/realvideo_complex_v1_ratio50_full150_seed20260318_20260304T122457Z/summary_rows.csv,artifacts/realvideo_complex_v1_ratio50_full150_seed20260318_20260304T122457Z/summary_rows.csv
20260319,0.0490,0.0900,0.0410,0.0526,0.0918,0.0392,3.4222,3.0514,-0.3708,artifacts/realvideo_complex_v1_ratio50_full150_seed20260319_20260305T000359Z/summary_rows.csv,artifacts/realvideo_complex_v1_ratio50_full150_seed20260319_20260305T000359Z/summary_rows.csv
