task,seed,fs,alpha,max_iters,eval_interval,maskacc_iters,best_maskacc_val,best_maskacc_fg_val,last_val_loss,exit_code,log_path
realvideo_complex_v1_ratio50_full150_seed20260318,20260318,0,0,150,30,50,0.0490,0.0526,3.4223,0,exp/realvideo_complex_v1_ratio50_full150_seed20260318_20260304T122457Z/logs/rvc1_ratio50_full150_seed20260318_fs0.log
realvideo_complex_v1_ratio50_full150_seed20260318,20260318,1,-2,150,30,50,0.0879,0.0931,3.0446,0,exp/realvideo_complex_v1_ratio50_full150_seed20260318_20260304T122457Z/logs/rvc1_ratio50_full150_seed20260318_fs1.log
